   100 100
   (6,1)       0.9129
  (29,1)       0.2752
  (95,1)       0.2770
  (90,3)       0.2983
  (70,4)       0.3752
  (88,4)       0.9018
  (13,6)       0.9904
  (47,10)      0.0138
   (3,12)      0.0543
  (57,12)      0.7408
  (98,12)      0.5742
  (19,14)      0.1739
  (50,14)      0.2490
  (82,17)      0.8639
  (23,19)      0.1535
  (63,20)      0.8492
  (29,21)      0.0060
  (27,22)      0.8506
  (26,25)      0.1440
  (32,25)      0.8019
  (38,25)      0.6681
  (68,25)      0.4299
  (50,26)      0.3864
  (77,26)      0.6255
  (99,26)      0.4128
  (52,27)      0.8309
  (81,27)      0.3346
  (68,28)      0.2072
  (57,29)      0.7376
  (62,30)      0.7919
  (81,30)      0.5746
   (5,31)      0.1625
  (37,31)      0.7228
  (51,31)      0.4314
  (73,31)      0.3421
   (8,32)      0.2472
   (7,34)      0.8099
   (3,36)      0.7087
  (63,36)      0.3904
  (69,36)      0.3234
  (75,36)      0.5211
  (10,38)      0.7772
   (6,40)      0.4817
  (15,40)      0.5009
  (52,41)      0.8246
  (27,44)      0.3379
  (91,44)      0.8899
  (64,45)      0.9764
  (10,46)      0.5111
  (54,46)      0.3806
  (38,48)      0.1788
   (7,49)      0.1868
  (74,49)      0.8171
 (100,49)      0.7028
  (25,52)      0.3568
  (52,52)      0.4530
  (32,55)      0.4974
   (8,57)      0.0542
  (63,57)      0.7384
  (72,58)      0.3299
  (39,60)      0.5960
  (48,60)      0.9512
  (62,60)      0.4522
  (21,61)      0.6256
  (46,62)      0.4511
  (43,65)      0.8859
  (57,65)      0.9469
  (36,66)      0.8709
  (87,69)      0.6725
  (21,71)      0.5751
  (21,72)      0.7510
  (90,73)      0.4965
  (88,74)      0.1992
  (75,75)      0.7743
   (5,76)      0.1136
   (6,76)      0.8518
  (75,76)      0.1203
  (99,76)      0.0148
  (96,79)      0.5340
   (4,80)      0.9929
  (74,80)      0.5317
  (32,83)      0.5378
  (47,85)      0.4737
  (40,87)      0.8086
  (44,87)      0.2138
  (86,87)      0.1986
  (55,88)      0.9259
  (15,89)      0.3320
  (80,89)      0.3466
  (10,90)      0.0278
  (94,90)      0.5014
  (42,92)      0.9845
   (8,94)      0.6090
  (38,94)      0.5505
  (45,95)      0.0346
  (38,96)      0.9599
  (66,97)      0.5233
  (60,98)      0.5101
 (100,99)      0.5067
  (69,100)     0.1109
